,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
789,7.88,0.0,0.0,0.0,0.0,0.17637797485961984,0.13447200345189922,0.025308818298231374,1.2054688751403946,-1.6085080157751308,-1.71912968923611,-0.1106216734609793,-0.04190597140772062
790,7.890000000000001,0.0,0.0,0.0,0.0,0.1765725601246005,0.14656895551107582,0.01364154198523914,1.2136940364755628,-1.6067431658807891,-1.7177245529653486,-0.11098138708455951,-0.030003604613524693
791,7.9,0.0,0.0,0.0,0.0,0.17665149002017178,0.15874129197394102,0.002179530129153604,1.2205416868030832,-1.6049769501209081,-1.7161980587739802,-0.11122110865307211,-0.017910198046230758
792,7.91,0.0,0.0,0.0,0.0,0.17661687026953365,0.17097511846279062,-0.009066651758559335,1.2259882561980957,-1.6032105146086024,-1.7145495220934701,-0.11133900748486769,-0.005641751806743034
793,7.92,0.0,0.0,0.0,0.0,0.1764709107329248,0.18325631344968385,-0.0200867429289764,1.2300118884840319,-1.6014449838765306,-1.712778398449091,-0.11133341457256041,0.006785402716759037
794,7.930000000000001,0.0,0.0,0.0,0.0,0.17621592232430502,0.1955705455121382,-0.030870794663214428,1.232592464862707,-1.5996814598508797,-1.7108842856453448,-0.11120282579446505,0.01935462318783318
795,7.94,0.0,0.0,0.0,0.0,0.17585431385132647,0.20790329082520537,-0.04140917836326824,1.2337116276054974,-1.5979210208565622,-1.7088669257776452,-0.11094590492108303,0.0320489769738789
796,7.95,0.0,0.0,0.0,0.0,0.17538858876989968,0.22023985089182854,-0.051692594555959696,1.2333528040557706,-1.5961647206544296,-1.7067262070678892,-0.11056148641345964,0.04485126212192886
797,7.96,0.0,0.0,0.0,0.0,0.17482134184383694,0.2325653705157066,-0.061712082884700786,1.2315012311643834,-1.5944135875114092,-1.7044621655215197,-0.1100485780101106,0.057744028671869674
798,7.97,0.0,0.0,0.0,0.0,0.17415525569938892,0.244864856022987,-0.07145903314726541,1.2281439807474697,-1.5926686233045604,-1.7020749864036193,-0.10940636309905895,0.07070960032359808
799,7.98,0.0,0.0,0.0,0.0,0.17339309726399782,0.25712319374080095,-0.08092519741988746,1.2232699856193379,-1.5909308026601554,-1.6995650055315106,-0.10863420287135517,0.08373009647680313
800,7.99,0.0,0.0,0.0,0.0,0.1725377140782819,0.26932516874198426,-0.09010270328885438,1.21687006671304,-1.5892010721289973,-1.6969327103812502,-0.10773163825225285,0.09678745466370237
801,8.0,0.0,0.0,0.0,0.0,0.17159203047015287,0.2814554838662598,-0.09898406819059924,1.2089369612576455,-1.587480349399298,-1.6941787410052984,-0.10669839160600048,0.10986345339610692
802,8.01,0.0,0.0,0.0,0.0,0.17055904358006538,0.2934987790285796,-0.10756221484023386,1.1994653520348955,-1.5857695225485504,-1.691303890758554,-0.10553436821000363,0.12293973544851425
803,8.02,0.0,0.0,0.0,0.0,0.16944181922670348,0.3054396508253471,-0.11583048770670831,1.1884518976888143,-1.5840694493359377,-1.6883091068298226,-0.10423965749388488,0.1359978315986436
804,8.03,0.0,0.0,0.0,0.0,0.16824348760294003,0.3172626724486977,-0.12378267047055155,1.1758952640108884,-1.5823809565369253,-1.6851954905756918,-0.10281453403876652,0.14901918484575769
805,8.040000000000001,0.0,0.0,0.0,0.0,0.1669672387926567,0.32895241391799257,-0.1314130043776698,1.1617961560708083,-1.5807048393217822,-1.6819642976536835,-0.10125945833190132,0.16198517512533586
806,8.05,0.0,0.0,0.0,0.0,0.16561631809999172,0.34049346263609437,-0.13871620738017967,1.1461573510092937,-1.579041860679866,-1.6786169379514753,-0.0995750772716093,0.17487714453610265
807,8.06,0.0,0.0,0.0,0.0,0.16419402118377963,0.3518704442759356,-0.1456874939330235,1.1289837312555298,-1.5773927508915813,-1.6751549753089066,-0.0977622244173253,0.187676423092156
808,8.07,0.0,0.0,0.0,0.0,0.16270368899137697,0.36306804400017373,-0.1523225952933235,1.110282317878235,-1.5757582070499958,-1.671580127029459,-0.09582191997946321,0.20036435500879676
809,8.08,0.0,0.0,0.0,0.0,0.16114870248769592,0.3740710280136245,-0.15861778014855912,1.0900623037267616,-1.574138892634138,-1.6678942631778733,-0.09375537054373528,0.2129223255259286
810,8.09,0.0,0.0,0.0,0.0,0.15953247717711172,0.38486426544443253,-0.16456987537976328,1.0683350859678034,-1.572535437136039,-1.6640994056605924,-0.09156396852455352,0.2253317882673208
811,8.1,0.0,0.0,0.0,0.0,0.15785845741794008,0.39543275054576077,-0.17017628674751048,1.045114297575033,-1.5709484357435926,-1.6601977270857822,-0.08924929134218963,0.2375742931278207
812,8.11,0.0,0.0,0.0,0.0,0.1561301105313885,0.405761625205128,-0.17543501927171212,1.020415837284078,-1.5693784490813019,-1.6561915493997843,-0.08681310031848245,0.24963151467373948
